Registro_ANS;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP
414352;AVENIDA GUARULHOS;239;;PARQUE ESTRELA - CENTRO;Guarulhos;SP;7023000
417611;RUA CONCEIÃ‡ÃƒO DE MONTE ALEGRE;198;CONJ 91 - 9Âº ANDAR;BROOKLIN PAULISTA;SÃ£o Paulo;SP;4563060
421723;AVENIDA RIO BRANCO;125;15Âº ANDAR;CENTRO;Rio de Janeiro;RJ;20040006
419303;RUA CONSELHEIRO CRISPINIANO;69;SALA 72;REPUBLICA;SÃ£o Paulo;SP;1037001
423670;RUA VILAGRA CABRITA;986;SALA C;CENTRO;Ji-ParanÃ¡;RO;76900018
424137;AV PRESIDENTE GETULIO VARGAS;2707;SALA 04;CENTRO;Floresta;PR;87120000
416398;RUA AMAPÃ;65;;ILHOTAS;Teresina;PI;64001140
314706;PRAÃ‡A DR CÃ‰SAR LEITE;383;;CENTRO;ManhuaÃ§u;MG;36900000
420930;RUA MARECHAL FLORIANO PEIXOTO;1059;;CENTRO;Guarapuava;PR;85010270
341941;RUA ARTHUR LEITE;37;;CENTRO;Passo Fundo;RS;99020220
421626;Rua Mato Grosso;1100;S/N;Santo Agostinho;Belo Horizonte;MG;30190088
424129;Av. Cel. JoÃ£o Coelho;299;;Centro;Barbalha;CE;63090009
363189;RUA BENTO GONÃ‡ALVES ;578;CONJ. 910;CENTRO;Passo Fundo;RS;99010010
342955;AV. PASTOR MARTIN LUTHER KING JUNIOR;7.406;;IRAJÃ;Rio de Janeiro;RJ;21235000
423343;AVENIDA RIO BRANCO;26;SBL;CENTRO;Rio de Janeiro;RJ;20090001
348180;AVENIDA BRASIL;3825;;ZONA 01;MaringÃ¡;PR;1431001
357511;AV. FREI SERAFIM;2155;;CENTRO;Teresina;PI;64000020
417050;AV. JOSÃ‰ SILVA DE AZEVEDO NETO;200;EVOLUTION 3 BL. 2 GRUPOS 101, 103 E 108;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775056
423840;AVENIDA RIO GRANDE DO SUL;1421;;CENTRO;Marechal CÃ¢ndido Rondon;PR;85690000
414921;Rua Alexandre Dumas;2100;12Âº andar;ChÃ¡cara Santo AntÃ´nio ;SÃ£o Paulo;SP;4717913
420751;Setor SCIA Quadra 14 Conjunto 3;LOTE 03;Zona Industrial (GuarÃ¡),;GUARA;BrasÃ­lia;DF;71250115
414557;RUA SÃƒO PEDRO;88;SALA 201/EDIF SAFIRA;RIO VERMELHO;Salvador;BA;41920260
424277;AVENIDA RIO BRANCO;1;SALA 1605;CENTRO ;Rio de Janeiro;RJ;20090907
